Temperature;1;2;3;4;5;6;7;8
81,38;83,2088458;83,21581915;83,40877436;83,26164432;83,22554627;83,43413004;83,20747939;83,21617572
81,39;83,15763854;83,1642467;83,35629308;83,20942421;83,17258439;83,38151539;83,15575844;83,16340927
81,4;83,10616983;83,11235739;83,30381181;83,15687977;83,11939415;83,32887892;83,10399341;83,11061939
81,41;83,05482562;83,06057993;83,25149653;83,10445696;83,06641152;83,27627156;83,05230918;83,05785295
81,42;83,00334445;83,00880248;83,19918124;83,05189902;83,0134981;83,22318411;83,0001989;83,00503964
81,43;82,95172631;82,95702503;83,14686596;82,99920594;82,96065389;83,16961655;82,94766257;82,95217946
81,44;82,89969733;82,90476298;83,09400161;82,94629662;82,90758823;83,11543067;82,89457531;82,89889752
81,45;82,84738823;82,85216544;83,04083079;82,89340756;82,85429419;83,06091744;82,84126769;82,84519383
81,46;82,79503555;82,79980398;82,9879409;82,84063339;82,80096555;83,00636057;82,78820248;82,79156826
81,47;82,74254592;82,74747979;82,93496162;82,78775109;82,74754003;82,95173095;82,73513728;82,73783333
81,48;82,68991933;82,69519289;82,88189295;82,73476069;82,69401761;82,89702859;82,68207208;82,68398906
81,49;82,63690056;82,64244623;82,8281092;82,68140538;82,64020453;82,84192614;82,62823558;82,62918412
81,5;82,58356432;82,58953182;82,77390407;82,6276649;82,58616307;82,78647454;82,57400242;82,57391058
81,51;82,53035258;82,53679758;82,71971172;82,57382306;82,53205933;82,73101567;82,52020265;82,51909785
81,52;82,47730269;82,48375271;82,66518738;82,51981905;82,47767879;82,67526582;82,46660855;82,46430074
81,53;82,42441465;82,4303972;82,61033105;82,46565286;82,42302143;82,619225;82,41322013;82,40951925
81,54;82,37117178;82,37623403;82,55507248;82,41087851;82,36767203;82,56239856;82,35927345;82,35445658
81,55;82,31772349;82,32188448;82,49969898;82,35575954;82,31201121;82,50550665;82,30501826;82,29934704
81,56;82,26441216;82,26783313;82,44422971;82,30049869;82,25623275;82,44905847;82,2508659;82,2441594
81,57;82,21082692;82,21364511;82,38854336;82,24500808;82,20024668;82,39231933;82,19644911;82,18878431
81,58;82,15696777;82,1593204;82,33263993;82,18928773;82,144053;82,33528923;82,14176787;82,13322176
81,59;82,1026044;82,1047658;82,2760789;82,13333764;82,08762403;82,27752443;82,08674139;82,07708126
81,6;82,04825971;82,05017392;82,21896242;82,07696183;82,03084211;82,21951958;82,03153861;82,020519
81,61;81,99411422;81,99558826;82,16183315;82,02036304;81,97402557;82,16154382;81,97635786;81,96405047
81,62;81,93960768;81,94082864;82,1045762;81,96364262;81,91729207;82,10329165;81,92101549;81,90736324
